"","StudentId","FName","LName","DOB","DepartmentId","Gender","Department","Grade","Tution"
"1",1,"Halla","Belay","1970-01-01T00:00:00.0000000",1,"M","[Value]","[Table]","[Table]"
"2",2,"Keely","Leigh","1971-01-01T00:00:00.0000000",1,"F","[Value]","[Table]","[Table]"
"3",3,"Bekele","Paki","1972-01-01T00:00:00.0000000",2,"M","[Value]","[Table]","[Table]"
"4",4,"Asnakech","Regan","1973-01-01T00:00:00.0000000",2,"F","[Value]","[Table]","[Table]"
"5",5,"Ephrem","Steel","1974-01-01T00:00:00.0000000",2,"M","[Value]","[Table]","[Table]"
"6",6,"Feven","Lacey","1975-01-01T00:00:00.0000000",2,"F","[Value]","[Table]","[Table]"
"7",7,"TSega","Jennifer","1976-01-01T00:00:00.0000000",3,"M","[Value]","[Table]","[Table]"
"8",8,"Tsegaw","Isabella","1977-01-01T00:00:00.0000000",3,"M","[Value]","[Table]","[Table]"
"9",9,"Yabsera","Ila","1978-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"10",10,"Hiroko","Inga","1979-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"11",11,"Miranda","Flynn","1980-01-01T00:00:00.0000000",4,"F","[Value]","[Table]","[Table]"
"12",12,"Orla","Oren","1981-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
"13",13,"Tara","Quynn","1982-01-01T00:00:00.0000000",5,"F","[Value]","[Table]","[Table]"
"14",14,"Regan","Maile","1983-01-01T00:00:00.0000000",5,"M","[Value]","[Table]","[Table]"
"15",15,"Elton","Armand","1984-01-01T00:00:00.0000000",6,"M","[Value]","[Table]","[Table]"
"16",16,"Asnakech","Kirestin","1985-01-01T00:00:00.0000000",7,"F","[Value]","[Table]","[Table]"
"17",17,"Martha","Lila","1986-01-01T00:00:00.0000000",8,"M","[Value]","[Table]","[Table]"
"18",18,"Omar","Vance","1987-01-01T00:00:00.0000000",9,"F","[Value]","[Table]","[Table]"
"19",19,"Zachery","Wyatt","1988-01-01T00:00:00.0000000",10,"M","[Value]","[Table]","[Table]"
"20",20,"Zia","Vincent","1989-01-01T00:00:00.0000000",11,"F","[Value]","[Table]","[Table]"
"21",21,"Salvador","Merritt","1990-01-01T00:00:00.0000000",12,"M","[Value]","[Table]","[Table]"
"22",22,"Nadine","Harper","1991-01-01T00:00:00.0000000",13,"M","[Value]","[Table]","[Table]"
"23",23,"Pamela","Driscoll","1992-01-01T00:00:00.0000000",3,"F","[Value]","[Table]","[Table]"
"24",24,"Boris","Kadeem","1993-01-01T00:00:00.0000000",4,"M","[Value]","[Table]","[Table]"
